team,player,bat_order,lineup_status
NYY,Aaron Judge,3,Projected
NYY,Jazz Chisholm,1,Projected
NYY,Ben Rice,2,Projected
DET,Riley Greene,2,Projected
DET,Spencer Torkelson,4,Projected
DET,Dillon Dingler,6,Projected
